scenario_id;test_type;technology;users_chatroom;users_server;chatrooms;senders_per_chat_ratio;payload_size_bytes;interval_ms;avg_message_time_ms;min_message_time_ms;max_message_time_ms;throughput;error_rate;cpu_avg;cpu_max;ram_avg;ram_max
427;spike_chatroom;SignalR;50;50;1;1;10000;200;278;;;0,44;0;78,9;81,5;87,4;92,5
428;spike_chatroom;WebSockets;50;50;1;1;10000;200;189;;;0,66;0;69,9;86,8;83,4;89,9
429;spike_chatroom;Polling;50;50;1;1;10000;200;883;;;0,22;15,45;89,8;93,4;90,3;94,1
430;spike_chatroom;SSE;50;50;1;1;10000;200;698;;;0,27;18,19;81,6;89,7;89,9;94,8
431;spike_chatroom;SocketIO;50;50;1;1;10000;200;444;;;0,38;6,65;80,8;85,4;89,4;92,3
432;spike_chatroom;gRPC;50;50;1;1;10000;200;390;;;0,99;0;68,3;75,8;86,9;89,7
433;endurance_chatroom;SignalR;10;10;1;1;10000;200;394;;;0,84;0;75,7;79,1;71,7;75,4
434;endurance_chatroom;WebSockets;10;10;1;1;10000;200;260;;;1,01;0;65,5;72,3;69,8;73,5
435;endurance_chatroom;Polling;10;10;1;1;10000;200;556;;;0,77;9,6;80,7;85;88,8;93,4
436;endurance_chatroom;SSE;10;10;1;1;10000;200;414;;;0,81;7,89;67,7;74,5;78,9;84,3
437;endurance_chatroom;SocketIO;10;10;1;1;10000;200;392;;;0,82;0;75,8;79,1;75,5;79,4
438;endurance_chatroom;gRPC;10;10;1;1;10000;200;377;;;1,99;0;59,4;62,9;67,7;73,5
439;endurance_chatroom;SignalR;30;30;1;1;10000;200;441;;;0,75;0;83,9;88,8;90,1;92,5
440;endurance_chatroom;WebSockets;30;30;1;1;10000;200;381;;;0,89;0;76,7;82,4;91,3;93,9
441;endurance_chatroom;Polling;30;30;1;1;10000;200;698;;;0,56;15,82;89,3;94,4;93,8;94,9
442;endurance_chatroom;SSE;30;30;1;1;10000;200;678;;;0,62;31,56;79,9;86,1;90,2;93,8
443;endurance_chatroom;SocketIO;30;30;1;1;10000;200;515;;;0,67;3,73;85,8;89,3;91,3;94,8
444;endurance_chatroom;gRPC;30;30;1;1;10000;200;518;;;1,39;0;81,1;84,3;88,1;92,7
445;endurance_chatroom;SignalR;50;50;1;1;10000;200;578;;;0,39;0;85,5;88,9;94,7;97,7
446;endurance_chatroom;WebSockets;50;50;1;1;10000;200;467;;;0,53;0;80,6;83,4;94,3;95,9
447;endurance_chatroom;Polling;50;50;1;1;10000;200;875;;;0,17;19,98;93,5;96,9;96,8;98,3
448;endurance_chatroom;SSE;50;50;1;1;10000;200;743;;;0,24;38,91;86,9;92,4;94,8;96,9
449;endurance_chatroom;SocketIO;50;50;1;1;10000;200;649;;;0,34;14,59;88;90,6;94,3;96,1
450;endurance_chatroom;gRPC;50;50;1;1;10000;200;617;;;1,13;7,76;84,6;89,9;92,3;95,2
